istc_id,author,title,date,ia_found,ht_found,gb_found,any_found
ir00317500,"Rombus, Petrus",Materiarum editio ex baculo caecorum breviter collecta,1497,False,False,True,True
ib00209600,Bartolus de Saxoferrato,Super tribus ultimis libris Codicis cum additionibus Angeli de Ubaldis et Alexan,1490,False,False,True,True
ia00376600,"Alexander VI, Pont. Max. (formerly Rodrigo Borgia)",Literae ad pastores seu plebanos de indulgentiis plenissimae remissionis Iubilae,1500,False,False,False,False
iv00135400,"Vergerius, Petrus Paulus",De ingenuis moribus ac liberalibus studiis. Add: Basilius Magnus: De legendis an,1490,False,False,True,True
id00425000,"Duranti, Guillelmus",Rationale divinorum officiorum,1481,True,False,True,True
id00183500,,Dicta puerorum super Donatum minorem [Latin with German notes],1495,False,False,False,False
ic00830000,,Coniuratio malignorum spirituum,1495,True,False,True,True
ib00770300,Boethius,De consolatione philosophiae,,True,False,True,True
iv00034000,"Valerius Maximus, Gaius",Facta et dicta memorabilia. Comm: Omnibonus Leonicenus,1485,False,False,True,True
ib00065000,Baptista Mantuanus,Parthenice prima sive Mariana. Comm: Jodocus Badius Ascensius. Commendatio Parth,1505,False,False,True,True
is00599300,"Socinus, Bartholomaeus","Repetitio legis ""De vulgari et pupillari substitutione"". [Prelim:] Raphael Cance",1497,False,False,False,False
iv00125500,"Verardus, Carolus",Historia Baetica,,False,False,True,True
ip00041000,"Panormitanus de Tudeschis, Nicolaus",Glossae Clementinae,1477,False,False,True,True
ia01183900,,Auctores octo seu Libros menores. Con: Andreas Guterrius: Sudores in laudem nost,1494,False,False,False,False
ip00736000,"Pius II, Pont. Max. (formerly Aeneas Sylvius Picco",Proverbia et De divinis et humanis,1495,False,False,False,False
ij00467500,Johannes de Verdena,"Sermones ""Dormi secure"" de tempore et de sanctis",1497,False,False,True,True
ia00421655,Alexander de Villa Dei,Doctrinale (Partes I-IV),1482,True,False,False,True
ia00415700,Alexander de Villa Dei,Doctrinale (Partes I-IV),,True,False,True,True
ia01336000,"Augustinus, Aurelius",Soliloquium de arrha animae,1492,False,False,True,True
ic00792500,,Compendium octo partium orationis,1488,False,False,True,True
ic01014000,Cyprianus,Opera,1486,True,False,True,True
im00751830,,"Modus legendi abbreviaturas. Add: Ars notariatus. Bartolus Saxoferrato, Processu",1505,False,False,True,True
ip00954000,"Praepositus, Nicolaus",Dispensarium ad aromatarios,,False,False,True,True
ia00410300,Alexander de Roes,Memoriale de praerogativa Romani imperii. Add: Jordanus Osnaburgensis: De imperi,1476,False,False,False,False
ip00261586,"Peraudi, Raimundus, commissary",Indulgentia 1489. For promoting the war against the Turks,1489,False,False,True,True
ic00390000,"Cepolla, Bartholomaeus",De servitutibus urbanorum et rusticorum praediorum,1475,False,False,True,True
it00326000,Thomas Aquinas,Quaestiones circa confessionem seu Sacramentum poenitentiae,1495,False,False,True,True
is00104800,"Samuel, Rabbi",Epistola contra Judaeorum errores (Tr: Alphonsus Boni Hominis),,False,False,True,True
it00050250,,Taxae cancellariae apostolicae,,True,False,True,True
ip00032000,"Panormitanus de Tudeschis, Nicolaus",Consilia (Secundum volumen),1488,False,False,True,True
ij00411200,Johannes de Sacro Bosco,Sphaera mundi,1493,True,False,True,True
ic00805900,,Interrogationes et doctrinae,,True,False,True,True
il00313500,"Lucanus de Parma, Franciscus",De privilegio fisci,1496,False,False,True,True
ip00709400,"Pius II, Pont. Max. (formerly Aeneas Sylvius Picco",Epistola ad Procopium de fortuna,1489,False,False,True,True
ie00030500,,Elegantiarum viginti praecepta,,True,False,True,True
ia00103000,Aesopus,Vita et Fabulae [Latin] (Tr: Rinucius),1487,False,False,True,True
iw00041400,"Wimpheling, Jacobus",Officium de compassione Mariae virginis. Ed: (with additions) Ludwig von Helmste,1491,False,False,True,True
ib01144200,,Breviarium dominorum Teutonicorum,1500,False,False,True,True
it00020100,"Tartagnus, Alexander","Super prima et secunda parte Codicis, cum apostillis",,False,False,True,True
ij00477000,Jordanus de Quedlinburg,Postillae de tempore et sermones,1483,False,False,True,True
ig00553700,Guido,Casus longi super Institutis,1480,False,False,True,True
ie00029500,,Elegantiarum praecepta de Latinis orationibus; Elegantiae terminorum ex Laurenti,1488,False,False,True,True
ib01112850,,Breviarium Romanum,1487,True,False,True,True
ic00738000,"Clemens V, Pont. Max. (formerly Raimundus Bertrand",Constitutiones (cum apparatu Joannis Andreae) (with XXIX Extravagantes),1486,False,False,True,True
